BoundingBox_X1,BoundingBox_Y1,BoundingBox_X2,BoundingBox_Y2,Confidence,Label,Width,Height,AspectRatio
56,110,636,639,0.5572565793991089,15,580,529,1.0964083175803403
61,221,638,639,0.4113856256008148,0,577,418,1.3803827751196172
35,122,638,639,0.39228108525276184,15,603,517,1.1663442940038684
70,123,638,639,0.5989301204681396,15,568,516,1.1007751937984496
60,155,638,639,0.465646356344223,15,578,484,1.1942148760330578
92,190,638,638,0.3076581060886383,0,546,448,1.21875
94,226,637,639,0.5356649160385132,0,543,413,1.314769975786925
91,215,638,639,0.345507949590683,0,547,424,1.2900943396226414
84,41,637,640,0.3195052444934845,0,553,599,0.9232053422370617
83,126,638,639,0.30172237753868103,15,555,513,1.0818713450292399
81,229,634,639,0.48547518253326416,0,553,410,1.3487804878048781
58,192,638,640,0.341585248708725,15,580,448,1.2946428571428572
88,210,638,639,0.5374363660812378,0,550,429,1.2820512820512822
87,210,639,639,0.4323265254497528,0,552,429,1.2867132867132867
79,197,631,639,0.39600130915641785,0,552,442,1.248868778280543
86,199,637,639,0.4485671818256378,0,551,440,1.2522727272727272
51,182,637,639,0.38762685656547546,15,586,457,1.2822757111597374
67,162,638,639,0.5195550322532654,0,571,477,1.1970649895178198
94,178,639,639,0.45834770798683167,0,545,461,1.1822125813449025
85,202,636,639,0.4616851210594177,15,551,437,1.2608695652173914
60,117,637,638,0.3712800443172455,15,577,521,1.107485604606526
154,346,632,639,0.8009374737739563,0,478,293,1.6313993174061434
127,331,634,639,0.44817212224006653,0,507,308,1.646103896103896
102,318,635,638,0.5732538104057312,0,533,320,1.665625
144,326,639,638,0.523837685585022,16,495,312,1.5865384615384615
82,315,635,638,0.49053800106048584,0,553,323,1.7120743034055728
81,212,636,639,0.5832628607749939,15,555,427,1.2997658079625294
78,190,638,639,0.5265738368034363,15,560,449,1.247216035634744
64,129,638,638,0.534042239189148,0,574,509,1.1277013752455796
37,92,639,637,0.36571913957595825,15,602,545,1.1045871559633027
90,134,639,638,0.5017703771591187,15,549,504,1.0892857142857142
68,130,637,638,0.46710553765296936,0,569,508,1.1200787401574803
69,100,636,638,0.3892205059528351,0,567,538,1.053903345724907
82,83,640,638,0.3217118978500366,15,558,555,1.0054054054054054
100,80,639,638,0.5549834966659546,15,539,558,0.9659498207885304
42,114,637,638,0.7459231615066528,0,595,524,1.1354961832061068
72,110,636,638,0.6482213735580444,0,564,528,1.0681818181818181
59,103,636,637,0.3804357349872589,0,577,534,1.0805243445692885
73,135,635,638,0.5770022869110107,0,562,503,1.117296222664016
66,146,633,639,0.3758876621723175,0,567,493,1.1501014198782962
84,142,640,639,0.3219550848007202,15,556,497,1.118712273641851
70,57,638,638,0.5430958271026611,15,568,581,0.9776247848537005
87,207,638,639,0.7011404037475586,0,551,432,1.275462962962963
74,155,638,638,0.5603187084197998,0,564,483,1.1677018633540373
88,148,638,639,0.6038360595703125,0,550,491,1.120162932790224
159,15,570,637,0.305899977684021,0,411,622,0.6607717041800643
88,166,638,639,0.4177870452404022,0,550,473,1.1627906976744187
0,539,136,639,0.3436574935913086,59,136,100,1.36
86,178,639,639,0.5127135515213013,0,553,461,1.1995661605206074
98,256,637,638,0.5686482787132263,0,539,382,1.4109947643979057
83,210,639,639,0.6738970279693604,0,556,429,1.2960372960372961
77,195,638,639,0.5205118656158447,0,561,444,1.2635135135135136
79,192,638,639,0.5315358638763428,0,559,447,1.250559284116331
63,87,580,639,0.5369404554367065,0,517,552,0.9365942028985508
78,228,638,639,0.4167594611644745,0,560,411,1.362530413625304
83,168,638,639,0.3534514009952545,0,555,471,1.178343949044586
158,34,541,638,0.31875404715538025,0,383,604,0.6341059602649006
89,167,640,638,0.373317688703537,15,551,471,1.1698513800424628
72,34,607,637,0.37476006150245667,0,535,603,0.8872305140961857
93,28,640,638,0.6994045376777649,0,547,610,0.8967213114754098
81,29,638,638,0.39702871441841125,0,557,609,0.9146141215106732
86,265,640,639,0.5852465033531189,0,554,374,1.481283422459893
114,19,633,640,0.4797952175140381,0,519,621,0.8357487922705314
122,64,640,638,0.6746286749839783,0,518,574,0.9024390243902439
91,221,638,639,0.34395232796669006,0,547,418,1.3086124401913874
90,291,615,638,0.5559909343719482,0,525,347,1.5129682997118155
85,283,637,639,0.6878530979156494,0,552,356,1.550561797752809
106,35,639,638,0.5344405174255371,0,533,603,0.8839137645107794
81,229,638,639,0.44697561860084534,0,557,410,1.3585365853658538
86,255,639,639,0.558109700679779,0,553,384,1.4401041666666667
115,78,640,638,0.4854998290538788,0,525,560,0.9375
106,62,640,638,0.5990008115768433,0,534,576,0.9270833333333334
83,252,637,638,0.32961294054985046,0,554,386,1.4352331606217616
79,233,639,639,0.45825323462486267,0,560,406,1.3793103448275863
107,55,640,638,0.6668822169303894,0,533,583,0.9142367066895368
77,237,638,637,0.4201163649559021,0,561,400,1.4025
100,75,640,639,0.7418370842933655,0,540,564,0.9574468085106383
71,238,637,638,0.3510795533657074,0,566,400,1.415
86,34,640,640,0.6881025433540344,0,554,606,0.9141914191419142
128,17,575,640,0.42193886637687683,0,447,623,0.7174959871589085
75,267,625,638,0.42033132910728455,0,550,371,1.482479784366577
109,13,622,640,0.45376017689704895,0,513,627,0.8181818181818182
81,185,637,639,0.34054669737815857,0,556,454,1.224669603524229
96,245,639,638,0.4202733039855957,0,543,393,1.381679389312977
86,38,640,638,0.33261463046073914,0,554,600,0.9233333333333333
80,249,638,637,0.32448816299438477,0,558,388,1.4381443298969072
90,78,638,639,0.5499662756919861,0,548,561,0.9768270944741533
90,287,636,638,0.32497867941856384,0,546,351,1.5555555555555556
81,226,638,639,0.5938878655433655,0,557,413,1.3486682808716708
89,236,638,639,0.5270774364471436,0,549,403,1.3622828784119108
136,21,628,640,0.39902278780937195,0,492,619,0.7948303715670436
100,284,633,638,0.40207359194755554,0,533,354,1.5056497175141244
115,12,621,640,0.3900381326675415,0,506,628,0.8057324840764332
90,61,632,638,0.47088319063186646,0,542,577,0.9393414211438474
136,53,554,639,0.38695019483566284,0,418,586,0.7133105802047781
78,231,599,639,0.3193640112876892,0,521,408,1.2769607843137254
147,26,583,640,0.3149902820587158,0,436,614,0.7100977198697068
94,165,631,638,0.4735305607318878,0,537,473,1.135306553911205
93,193,637,639,0.6623050570487976,0,544,446,1.2197309417040358
88,226,637,639,0.5892202854156494,0,549,413,1.3292978208232447
88,211,638,639,0.7817712426185608,0,550,428,1.2850467289719627
84,214,639,639,0.6901907920837402,0,555,425,1.3058823529411765
113,58,608,640,0.4869324266910553,0,495,582,0.8505154639175257
129,15,580,640,0.6719965934753418,0,451,625,0.7216
113,22,582,640,0.6966741681098938,0,469,618,0.7588996763754046
91,25,634,640,0.6079853773117065,0,543,615,0.8829268292682927
75,19,613,640,0.7429390549659729,0,538,621,0.8663446054750402
0,506,129,639,0.4221906065940857,59,129,133,0.9699248120300752
70,21,601,639,0.7111808061599731,0,531,618,0.8592233009708737
86,15,620,640,0.6980174779891968,0,534,625,0.8544
48,193,629,639,0.3614721894264221,0,581,446,1.3026905829596414
84,16,633,640,0.6515371799468994,0,549,624,0.8798076923076923
99,39,637,640,0.6885200142860413,0,538,601,0.8951747088186356
0,501,136,639,0.3004700839519501,59,136,138,0.9855072463768116
99,2,604,640,0.34729427099227905,0,505,638,0.7915360501567398
